"","Cancer Site","Year","Tumour Type","Age","Region","Gender","Deprivation","Ethnicity - White","Ethnicity - Asian excl Chinese","Ethnicity - Black","Ethnicity - Chinese","Ethnicity - Mixed","Ethnicity - Other","Ethnicity - Unknown","Deprivation quintile 1 - most deprived","Deprivation quintile 2","Deprivation quintile 3","Deprivation quintile 4","Deprivation quintile 5 - least deprived","Death Certificate Only","Kaplan-Meier survival 36m"
"1","Skin tumours","2013","Skin cancer","All","All England","Female","All",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".j"
"2","Skin tumours","2013","Skin cancer","All","All England","Male","All",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".k",".j"
"3","Skin tumours","2013","Skin cancer","Age 00-24","All England","Female","All","32","0","1","0","0","0","36","13","14","13","14","15","0","100"
"4","Skin tumours","2013","Skin cancer","Age 00-24","All England","Male","All","30","1","0","0","0","1","30","9","5","12","14","22","0","100"
"5","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","48","0","0","0","0","0","29","4","8","18","20","27","0","100"
"6","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","75","0","0","0","0","0","35","9","18","23","27","33","0","97.2"
"7","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","50","0","1","0","0","0","43","11","15","23","24","21","0","98.9"
"8","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","58","1","0","0","0","0","59","15","17","21","37","28","0","100"
"9","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","41","0","0","1","0","0","35","17","14","10","19","17","0","98.7"
"10","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","47","0","0","0","0","0","51","19","15","20","23","21","0","100"
"11","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","41","0","0","0","0","0","33","16","21","8","11","18","0","100"
"12","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","45","0","0","0","0","0","48","24","13","18","19","19","0","100"
"13","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","55","0","0","0","0","1","48","7","12","17","29","39","0","100"
"14","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","62","0","0","0","0","0","69","6","9","25","43","48","0","99.2"
"15","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","43","0","0","0","0","1","23","8","8","16","21","14","0","100"
"16","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","64","0","0","0","0","1","30","6","12","27","29","21","0","100"
"17","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","66","0","0","0","0","0","17","5","13","17","25","23","0","97.6"
"18","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","89","0","0","0","0","2","33","9","21","27","30","37","0","98.4"
"19","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","65","0","0","0","0","0","41","18","15","23","23","27","0","97.1"
"20","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","126","1","0","0","0","0","63","25","28","35","48","54","0","96.7"
"21","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","48","0","0","0","0","0","29","16","10","13","16","22","0","100"
"22","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","90","0","0","0","0","0","48","16","29","27","36","30","0","97.1"
"23","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","49","0","0","0","0","0","33","13","10","12","19","28","0","94"
"24","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","96","0","0","0","0","0","38","21","19","22","32","40","0","96.2"
"25","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","70","0","0","0","0","0","47","4","12","20","30","51","0","97.4"
"26","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","125","0","1","0","1","1","57","6","14","32","47","86","0","97.8"
"27","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","61","0","0","0","0","0","30","9","12","31","13","26","0","97.8"
"28","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","88","0","0","0","0","0","29","4","19","34","28","32","0","96.4"
"29","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","87","0","0","0","0","0","38","11","22","29","30","33","0","91.9"
"30","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","164","0","0","0","0","0","26","9","26","51","38","66","0","89.4"
"31","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","93","0","0","0","0","0","39","18","27","24","32","31","0","91.5"
"32","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","186","0","0","0","0","0","39","29","42","44","41","69","0","87.3"
"33","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","68","1","0","0","0","0","45","17","19","21","30","27","0","89.4"
"34","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","124","0","0","0","0","0","57","41","29","37","38","36","0","94.5"
"35","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","70","0","0","0","0","0","41","22","15","21","27","26","0","92.7"
"36","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","119","0","0","0","0","0","42","31","21","39","30","40","0","89.9"
"37","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","99","0","0","0","0","0","60","10","14","22","39","74","0","95.5"
"38","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","198","0","0","0","0","1","55","11","22","53","68","100","0","91.3"
"39","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","83","0","0","0","0","0","25","6","13","32","29","28","0","95.3"
"40","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","135","0","0","0","0","0","23","12","26","43","46","31","0","89.6"
"41","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","91","0","0","0","1","1","28","14","19","32","24","32","0","72.5"
"42","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","121","0","0","0","1","0","15","13","16","37","32","39","0","73.5"
"43","Skin tumours","2013","Skin cancer","Age 25+","London","Female","All","80","1","0","0","0","2","14","12","22","27","22","14","0","73.9"
"44","Skin tumours","2013","Skin cancer","Age 25+","London","Male","All","78","0","0","0","0","1","18","6","29","18","27","17","0","64.9"
"45","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","106","0","0","0","0","0","58","27","22","33","50","32","0","75.6"
"46","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","141","1","0","0","0","2","43","21","35","29","51","51","0","66.8"
"47","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","97","0","0","0","0","0","41","32","19","24","34","29","0","75.2"
"48","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","90","0","0","1","0","0","28","16","25","17","33","28","0","70.6"
"49","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","65","0","0","0","0","0","34","19","22","19","19","20","0","77.6"
"50","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","83","0","0","0","0","0","28","25","18","22","20","26","0","70.5"
"51","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","119","0","1","0","0","0","82","11","25","33","53","80","0","73.2"
"52","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","153","0","0","0","0","0","39","6","18","42","49","77","0","69.3"
"53","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","107","0","0","0","0","0","27","7","26","34","40","27","0","73.3"
"54","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","113","0","0","0","0","1","15","12","21","35","36","25","0","67.7"
"55","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","295","0","0","0","0","1","144","37","58","98","111","136","0","99.1"
"56","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","305","1","0","0","1","0","164","33","66","114","125","133","0","98.1"
"57","Skin tumours","2013","Skin cancer","Age 25+","London","Female","All","182","2","1","0","0","3","93","39","68","65","70","39","0","98.9"
"58","Skin tumours","2013","Skin cancer","Age 25+","London","Male","All","175","4","0","1","1","3","89","35","71","60","61","46","0","98.1"
"59","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","340","0","0","0","0","1","267","92","95","136","138","147","0","99.3"
"60","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","346","0","1","0","1","0","298","98","109","132","164","143","0","98.1"
"61","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","268","0","0","0","0","2","218","110","94","95","92","97","0","99.8"
"62","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","266","0","0","0","0","1","255","105","74","113","112","118","0","98.1"
"63","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","293","1","1","0","0","1","191","126","82","98","98","83","0","98.8"
"64","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","256","0","1","0","0","0","193","105","60","96","76","113","0","99.1"
"65","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","347","0","0","0","0","1","327","36","83","116","176","264","0","98.9"
"66","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","312","1","0","1","0","1","306","32","73","118","146","252","0","98.9"
"67","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","300","0","0","1","0","1","157","29","81","124","118","107","0","99.6"
"68","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","258","0","0","0","0","2","154","41","69","108","106","90","0","99.3"
"69","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","381","0","0","1","1","2","126","31","83","131","107","159","0","97.5"
"70","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","484","2","0","1","1","1","142","43","79","172","151","186","0","96.6"
"71","Skin tumours","2013","Skin cancer","Age 25+","London","Female","All","252","1","1","0","0","2","64","36","63","76","74","71","0","97.1"
"72","Skin tumours","2013","Skin cancer","Age 25+","London","Male","All","277","1","1","0","0","9","69","38","90","88","76","65","0","96.5"
"73","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","446","1","0","0","0","1","277","91","114","166","187","167","0","97.7"
"74","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","572","0","0","0","0","1","284","110","118","182","225","222","0","96.2"
"75","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","372","2","0","0","0","0","221","106","105","125","140","119","0","96.8"
"76","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","457","0","0","0","0","1","250","126","103","120","168","191","0","96.2"
"77","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","338","1","0","0","0","0","168","122","80","81","113","111","0","95.4"
"78","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","443","0","0","0","1","0","181","156","79","113","138","139","0","95.2"
"79","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","458","0","0","0","0","2","275","39","90","122","180","304","0","97.6"
"80","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","571","1","0","0","1","2","277","44","83","147","231","347","0","97.1"
"81","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","406","0","0","0","0","0","161","38","87","158","151","133","0","98.6"
"82","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","436","0","1","0","0","2","118","38","94","150","154","121","0","97.6"
"83","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","532","1","0","0","2","1","135","48","109","170","172","172","0","93.2"
"84","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","738","0","0","0","3","2","102","46","141","193","197","268","0","90.8"
"85","Skin tumours","2013","Skin cancer","Age 25+","London","Female","All","295","0","0","0","0","9","75","55","83","80","78","83","0","93"
"86","Skin tumours","2013","Skin cancer","Age 25+","London","Male","All","401","1","0","1","1","5","62","56","98","104","103","110","0","90.3"
"87","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","617","1","0","0","1","1","285","130","162","198","206","209","0","93.8"
"88","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","844","0","1","0","0","2","259","136","160","244","275","291","0","89.3"
"89","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","482","0","0","0","0","0","250","153","117","136","166","160","0","93.6"
"90","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","664","1","0","0","0","1","225","169","166","175","212","169","0","90.2"
"91","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","441","0","1","0","0","0","225","151","111","104","140","161","0","93.1"
"92","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","567","0","0","0","0","0","164","163","99","131","145","193","0","88.4"
"93","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","583","0","0","0","1","4","284","37","94","152","223","366","0","94"
"94","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","879","2","1","0","1","7","256","47","135","193","310","461","0","89.6"
"95","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","489","0","0","0","0","0","132","36","113","134","182","156","0","95.8"
"96","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","641","0","0","0","0","3","112","54","118","196","210","178","0","90.7"
"97","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","573","0","0","0","3","1","126","57","118","173","174","181","0","76.6"
"98","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","610","0","1","0","0","0","62","42","107","182","155","187","0","71.9"
"99","Skin tumours","2013","Skin cancer","Age 25+","London","Female","All","410","1","3","0","0","7","97","73","117","101","126","101","0","76.7"
"100","Skin tumours","2013","Skin cancer","Age 25+","London","Male","All","438","0","0","0","1","8","66","60","111","107","117","118","0","73.9"
"101","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","573","1","0","0","0","4","287","162","161","175","196","171","0","75.9"
"102","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","659","1","1","0","0","1","203","137","140","180","203","205","0","72.9"
"103","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","437","0","0","0","0","0","221","153","119","132","137","117","0","77.3"
"104","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","464","0","0","0","0","1","165","120","114","123","132","141","0","69.1"
"105","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","390","1","0","0","1","1","179","143","116","91","117","105","0","76.5"
"106","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","409","0","1","0","2","0","132","113","81","93","125","132","0","70.3"
"107","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","714","0","0","2","0","5","294","64","108","215","270","358","0","76.6"
"108","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","862","2","0","0","1","5","177","42","122","190","287","406","0","72.7"
"109","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","553","0","0","0","0","0","135","56","133","171","169","159","1","76.7"
"110","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","537","0","0","0","0","0","91","44","104","162","166","152","1","67.9"
"111","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","142","0","0","0","0","1","102","10","29","54","70","82","0","99.2"
"112","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","129","0","0","0","0","0","113","15","38","53","54","82","0","99.6"
"113","Skin tumours","2013","Skin cancer","Age 25+","London","Female","All","80","1","1","0","0","5","82","20","37","42","33","37","0","100"
"114","Skin tumours","2013","Skin cancer","Age 25+","London","Male","All","93","0","0","0","0","4","87","23","49","42","41","29","0","99.4"
"115","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","172","1","0","0","0","1","138","24","43","74","85","86","0","99"
"116","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","132","0","0","0","1","1","165","26","49","63","76","85","0","98.6"
"117","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","150","0","0","0","0","0","119","44","41","50","72","62","0","100"
"118","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","115","0","0","0","0","0","127","36","35","55","55","61","0","99.2"
"119","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","188","0","0","0","1","0","127","67","48","46","71","84","0","100"
"120","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","130","0","0","0","0","0","112","42","35","50","51","64","0","97.6"
"121","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","183","0","0","0","0","1","192","17","24","72","90","173","0","98.6"
"122","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","136","0","0","0","0","2","196","17","31","51","83","152","0","99.4"
"123","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","149","0","0","0","1","0","114","18","36","66","66","78","0","100"
"124","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","126","0","0","0","0","0","107","13","49","57","53","61","0","99.1"
"125","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","93","0","0","0","0","0","60","6","20","44","28","55","0","96.7"
"126","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","210","0","0","1","0","0","79","15","36","60","88","91","0","96.2"
"127","Skin tumours","2013","Skin cancer","Age 25+","London","Female","All","54","0","0","0","0","2","37","8","19","16","19","31","0","96.5"
"128","Skin tumours","2013","Skin cancer","Age 25+","London","Male","All","108","0","0","0","0","3","64","15","36","32","48","44","0","98.2"
"129","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","122","0","0","0","0","0","84","23","32","36","57","58","0","98.5"
"130","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","245","0","0","0","0","2","108","27","44","86","92","106","0","97.1"
"131","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","118","0","0","0","0","0","67","30","24","39","53","39","0","94.7"
"132","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","191","0","0","0","0","1","82","35","49","51","65","74","0","97.1"
"133","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","106","0","0","0","0","0","68","24","28","33","49","40","0","97.7"
"134","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","208","0","2","0","0","1","87","52","52","48","70","76","0","94.3"
"135","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","143","0","0","0","1","1","103","4","21","32","72","119","0","95.1"
"136","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","265","0","0","0","0","3","159","17","43","81","101","185","0","96.4"
"137","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","114","0","0","0","0","0","57","10","38","47","37","39","0","98.8"
"138","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","235","0","0","0","0","0","98","16","55","82","81","99","0","97.2"
"139","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","110","0","0","0","0","1","41","9","24","35","38","46","0","95.4"
"140","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","263","0","0","0","0","0","71","18","50","66","92","108","0","92.2"
"141","Skin tumours","2013","Skin cancer","Age 25+","London","Female","All","71","1","0","0","0","1","23","11","17","21","24","23","0","96.8"
"142","Skin tumours","2013","Skin cancer","Age 25+","London","Male","All","159","1","0","2","0","5","40","20","48","47","45","47","0","93.5"
"143","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","106","0","0","0","0","0","56","13","17","33","41","58","0","93.5"
"144","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","321","1","0","0","0","1","94","51","56","84","120","106","0","89.9"
"145","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","79","0","0","0","0","0","35","16","17","22","23","36","0","95.6"
"146","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","234","0","0","0","0","0","78","49","45","56","79","83","0","90.1"
"147","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","106","0","0","0","1","0","31","17","24","22","37","38","0","92.2"
"148","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","233","0","0","0","0","0","65","36","41","61","76","84","0","88.2"
"149","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","145","1","0","0","0","1","71","12","20","39","56","91","0","94.9"
"150","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","379","0","0","0","0","2","135","18","49","74","142","233","0","90.4"
"151","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","111","0","0","0","0","1","45","11","28","38","45","35","0","94.2"
"152","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","277","0","0","0","0","0","64","23","43","97","93","85","0","94.7"
"153","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","60","0","0","0","0","0","16","5","10","19","22","20","0","73"
"154","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","151","0","0","0","0","0","40","9","35","45","36","66","0","71.6"
"155","Skin tumours","2013","Skin cancer","Age 25+","London","Female","All","50","0","0","0","0","1","20","5","17","16","16","17","0","79.7"
"156","Skin tumours","2013","Skin cancer","Age 25+","London","Male","All","123","1","0","0","0","3","26","17","32","29","39","36","0","80.8"
"157","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","76","0","0","0","0","1","39","14","21","24","34","23","0","77"
"158","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","150","0","0","0","0","0","61","19","33","56","53","50","0","75.5"
"159","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","44","0","0","0","0","0","22","14","6","11","24","11","0","78.8"
"160","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","105","0","0","0","0","0","31","22","22","23","32","37","0","77.4"
"161","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","53","0","0","0","0","0","26","19","15","16","12","17","0","78.2"
"162","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","96","0","0","0","0","0","29","25","20","31","19","30","0","72.2"
"163","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","102","0","0","0","0","1","44","8","8","32","38","61","0","81.6"
"164","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","269","0","0","0","0","1","64","9","42","70","95","118","0","72.8"
"165","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","67","0","0","0","0","0","24","8","14","15","37","17","0","82.2"
"166","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","153","0","0","0","0","0","19","12","26","49","41","44","0","71.3"
"167","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","45","0","0","0","0","1","61","5","14","26","22","40","0","99.1"
"168","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","47","0","0","0","0","0","47","3","13","20","25","33","0","98.9"
"169","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","67","0","0","0","0","0","56","13","21","23","35","31","0","99.1"
"170","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","42","0","0","0","0","0","55","11","12","19","35","20","0","97.9"
"171","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","53","0","0","0","0","0","61","16","21","17","30","30","0","98.2"
"172","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","46","0","0","0","0","0","35","8","9","20","17","27","0","98.8"
"173","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","71","0","0","0","1","1","88","6","9","25","37","84","0","98.7"
"174","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","87","0","0","0","0","0","92","7","9","20","52","91","0","97.7"
"175","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","71","0","0","0","0","1","58","7","24","33","36","30","0","100"
"176","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","70","0","0","0","0","0","39","6","19","26","29","29","0","100"
"177","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","60","0","0","0","0","0","35","6","10","20","27","32","0","96.8"
"178","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","87","0","0","0","0","1","33","6","16","25","37","37","0","97.5"
"179","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","58","0","0","0","0","0","27","10","12","21","22","20","0","97.6"
"180","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","113","0","0","0","1","0","61","11","25","36","54","49","0","94.1"
"181","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","32","0","0","0","0","0","37","10","16","11","14","18","0","100"
"182","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","83","0","0","0","0","0","38","15","17","17","39","33","0","96.7"
"183","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","70","0","0","0","0","0","47","2","9","26","30","50","0","98.3"
"184","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","106","0","0","0","0","1","57","10","16","28","45","65","0","99.4"
"185","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","65","0","0","0","0","0","44","7","19","32","27","24","0","98.1"
"186","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","87","0","1","0","0","0","39","7","17","37","32","34","0","96"
"187","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","67","0","0","0","0","0","27","5","13","26","26","24","0","91.4"
"188","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","144","0","0","0","0","0","23","10","25","36","38","58","0","91"
"189","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","74","0","0","0","0","0","38","11","18","19","27","37","0","97.2"
"190","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","133","0","0","0","0","0","47","15","21","40","43","61","0","94.8"
"191","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","52","0","0","0","0","2","21","17","13","8","19","18","0","93.4"
"192","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","96","0","0","0","0","1","29","22","19","24","36","25","0","91.4"
"193","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","86","0","0","0","0","1","49","3","11","26","37","59","0","97.1"
"194","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","178","0","0","0","0","0","63","10","22","50","62","97","0","92.8"
"195","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","67","0","0","0","0","0","26","4","17","28","24","20","0","89.2"
"196","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","130","0","0","0","0","0","32","7","20","46","52","37","0","93.2"
"197","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","53","0","0","0","0","0","19","5","7","18","19","23","0","73.6"
"198","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","88","0","0","0","1","0","8","2","13","29","21","32","0","73.2"
"199","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","49","0","0","0","0","0","29","10","12","19","18","19","0","72.4"
"200","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","74","0","0","0","0","1","17","12","20","8","24","28","0","71.1"
"201","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","36","0","0","0","0","0","26","6","11","16","13","16","0","82.8"
"202","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","60","0","0","0","0","0","17","11","9","17","19","21","0","75.6"
"203","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","83","0","0","0","0","0","29","5","10","26","30","41","0","77.1"
"204","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","146","0","0","0","0","2","38","8","20","34","53","71","0","72.4"
"205","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","61","0","0","0","0","0","19","7","19","20","21","13","0","81.3"
"206","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","78","0","0","0","0","0","20","6","24","18","27","23","0","67"
"207","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","73","0","0","0","0","0","43","5","15","32","28","36","0","98.3"
"208","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","57","0","0","0","0","0","18","4","12","14","18","27","0","98.6"
